PLAYER NAME,WINNING MANAGER,WINNING BID
Hagen Smith,Bob,12
JJ Wetherholt,Bob,5
Konnor Griffin,Bob,26
Liam Doyle,Bob,11
Payton Tolle,Coleman,2
Trey Yesavage,Logan,7
Khal Stephen,Logan,1
Brayden Montgomery,Logan,1
Blake Burke,Logan,1
Kade Anderson,Nate,6
Seth Hernandez,Nate,3
Cam Canarella,Nate,1
Jace LaViolette,Nate,3
Gage Wood,Nate,6
Tommy White,Red,4
Carson Benge,Red,8
Travis Bazzana,Rich,6
Ethan Holliday,Rich,10
Jhostynxon Garcia,Rich,1
Jurrangelo Cijntje,Rich,1
Charlie Condon,Riley,4
Cam Caminiti,Riley,11
Wehiwa Aloy,Riley,3
Brody Brecht,Riley,4
Kyson Witherspoon,Riley,3
Tyler Bremner,Riley,3
Jamie Arnold,Tyler,7
Marcus Phillips,Tyler,1